id,title,overwritten_date,verified_original_date,source
ee05c0c8-13bb-4066-8092-d52ee6fdf937,Upcoming Event: Asian Private Banker's Alternative Investments Summit 2026,2026-07-15T09:22:03.915+00:00,2026-02-02T00:00:00+00:00,2026-06-30 backup: published_at
4a03fc5e-4b98-4f3d-98c5-fd0f7f2f48f2,Upcoming Event: The Revo Connect 2026 - Global Family Offices in the Digital Era,2026-07-15T09:24:36.64+00:00,2026-05-13T02:48:42.599+00:00,2026-06-30 backup: published_at
3fe1ff01-a208-487e-97a4-0713c10d51a8,Upcoming Event: Asian Financial Forum (AFF) 2026,2026-07-15T09:27:57.288+00:00,2026-05-08T08:22:54.952+00:00,2026-06-30 backup: published_at
f12cb9ad-a409-4f9d-b7b9-f97155f88f73,FOIHK Invited as Speaker: 2026 Hong Kong SME Business Summit,2026-07-15T09:32:35.453+00:00,2026-01-07T00:00:00+00:00,2026-06-30 backup: published_at
f82c372a-b208-4b62-9521-89453df14ca4,Upcoming: 2026 Hong Kong Economic Outlook & SME Business Summit,2026-07-15T09:33:26.657+00:00,2026-05-08T07:06:18.319+00:00,2026-06-30 backup: published_at
d7e76260-7b14-41b3-9ea1-408347103c8c,Invited: 2025 Foreign Investment Institutions Chengdu Roadshow,2026-07-15T09:34:39.869+00:00,2025-12-11T00:00:00+00:00,2026-06-30 backup: published_at
dbc7be31-e6cc-4545-935b-a0fffa927d8d,Invited: 2025 Yunnan-Hong Kong-Macau Entrepreneur Forum,2026-07-15T09:35:18.339+00:00,2025-11-20T00:00:00+00:00,2026-06-30 backup: published_at
deafafdb-67d3-480c-bcb0-178c527ab778,RFO Annual Forum 2025 - Event Recap,2026-07-15T09:35:52.665+00:00,2026-05-08T07:23:25.673+00:00,2026-06-30 backup: published_at
15280f8e-560b-4e2c-a474-8e8d7fa667b7,Upcoming Event: RFO Annual Forum 2025,2026-07-15T09:36:47.8+00:00,2026-05-08T07:06:57.766+00:00,2026-06-30 backup: published_at
ef1a63fe-2e06-4823-8935-ac897ff00f7f,FOIHK x InnoESG Prize Nomination Training Course,2026-07-15T09:40:05.487+00:00,2025-09-18T00:00:00+00:00,2026-06-30 backup: published_at
